user_id,product_id,rating
1,5596,8
1,2051,3
1,4887,9
1,607,7
1,5306,2
1,5251,8
1,527,8
1,4624,9
1,6575,9
1,4823,6
1,6887,4
1,5838,8
1,3926,8
1,640,10
1,4861,7
1,6933,4
1,6921,7
1,2967,8
1,1562,2
2,735,8
2,2029,7
2,1645,1
2,6472,5
2,5984,1
2,4036,9
2,6480,10
2,5794,10
2,513,10
2,6328,9
2,4403,6
2,6263,8
3,3036,9
3,3851,9
3,1969,7
3,6567,3
3,875,9
3,6616,8
3,5975,4
3,3807,7
3,6821,1
3,710,3
3,6696,10
3,906,8
3,1275,10
3,4480,6
3,5478,6
3,786,10
3,6039,8
4,1354,10
4,3729,7
4,2097,9
4,6326,4
4,5728,10
4,5677,7
5,5670,7
5,2727,7
5,5377,9
5,2795,7
5,5015,6
5,1607,8
5,6251,3
5,5496,8
5,5555,8
5,3007,8
5,1858,8
5,6181,7
5,1297,7
5,3574,8
6,996,10
6,5568,7
6,2866,1
6,2143,9
6,2544,1
6,910,5
6,3614,6
6,3462,8
6,6837,8
6,3795,7
6,3295,9
6,3716,6
6,4812,8
6,406,9
6,1467,4
7,4863,10
7,4313,5
7,5489,8
7,910,5
7,4518,7
7,5975,2
7,5938,7
7,4099,10
7,1640,2
7,2962,5
7,1048,2
7,6673,7
7,571,4
7,6104,6
7,3430,8
7,2925,8
7,2618,10
8,2264,4
8,6785,7
8,383,7
8,4116,10
8,1202,4
8,4262,7
8,5530,9
8,1614,8
8,5312,4
8,6376,8
8,2645,8
8,2568,8
8,4985,8
8,3221,5
8,1237,9
8,1091,8
8,6490,8
8,5502,8
8,4608,5
8,359,4
9,5327,9
9,172,9
9,3679,8
9,2706,9
9,3087,9
9,1418,10
9,4225,9
9,2342,7
9,5672,9
9,6826,5
9,5127,9
9,3748,8
9,4265,9
10,3084,6
10,2538,6
10,2782,2
10,6366,9
10,1518,6
10,1221,8
10,1810,9
10,2795,2
10,5770,9
10,2597,10
10,2784,8
10,18,8
10,4457,9
10,1173,10
10,1850,9
10,2302,5
10,128,7
11,3414,2
11,3544,7
11,5385,3
11,6294,9
11,4614,9
11,5046,4
11,5964,10
11,5389,6
11,1919,9
11,2259,10
11,5445,7
11,605,10
11,2111,1
12,3258,7
12,6001,6
12,4142,9
12,4471,7
12,3570,7
12,2279,8
12,4811,3
12,1165,10
12,473,2
12,3792,7
12,6626,9
12,2959,8
12,2183,9
12,2826,1
12,215,9
13,14,8
13,3728,5
13,4264,7
13,1886,9
